,longitude,latitude,elevation
0,135.440455,-27.551875,117.5
1,136.831243,-24.935196,123.56
2,137.537906,-24.93019,81.5
3,137.617905,-24.941849,78.46
4,137.717904,-24.945188,76.02
5,137.816234,-24.948518,81.29
6,137.932902,-24.948517,66.33
7,137.929563,-25.011847,63.51
8,137.719565,-25.016848,71.74
9,137.621236,-25.025189,74.27
10,137.521237,-25.01852,78.2
11,137.401239,-25.030191,91.45
12,137.27791,-25.026852,87.72
13,136.917913,-25.028525,124.11
14,136.806245,-25.035196,135.82
15,136.702916,-25.043527,128.0
16,136.616246,-25.030198,134.43
17,136.504577,-25.018529,141.41
18,135.186089,-24.95387,235.31
19,135.10559,-24.93387,252.98
20,135.11726,-24.97721,243.84
21,135.060261,-24.977711,256.34
22,135.051261,-24.950041,262.43
23,135.306758,-24.965039,208.18
24,135.18676,-24.97904,235.31
25,135.12059,-25.00221,239.57
26,135.069261,-25.011211,246.58
27,135.497757,-24.966707,177.39
28,135.420757,-24.958038,181.66
29,135.651425,-24.942536,208.48
30,134.343945,-25.697219,303.58
31,134.322105,-25.716719,310.29
32,134.301446,-25.754219,317.3
33,134.281276,-25.78438,324.92
34,134.252777,-25.82372,335.58
35,134.248608,-25.87355,357.84
36,134.227608,-25.912551,360.58
37,134.231948,-25.947881,338.94
38,134.333108,-25.95322,313.64
39,134.342607,-25.92588,318.82
40,134.347777,-25.885379,335.58
41,134.351946,-25.853049,354.79
42,134.357446,-25.819379,313.94
43,134.387775,-25.787219,299.01
44,134.392105,-25.747379,306.02
45,134.404274,-25.705218,305.41
46,134.518273,-25.699547,317.3
47,134.503944,-25.728218,284.99
48,134.492444,-25.757378,295.35
49,134.480945,-25.813048,262.13
50,134.468275,-25.844048,281.03
51,134.442106,-25.862219,323.7
52,134.434106,-25.913719,312.42
53,134.423447,-25.944719,292.91
54,134.500446,-25.951548,261.82
55,134.514106,-25.918718,284.99
56,134.525945,-25.882218,282.55
57,134.532775,-25.854878,260.3
58,134.543274,-25.822378,248.11
59,134.554274,-25.783217,250.85
60,134.565103,-25.734547,265.79
61,134.587443,-25.701547,270.66
62,134.675772,-25.690876,242.93
63,134.668942,-25.723046,310.59
64,134.660943,-25.752216,243.54
65,134.652103,-25.778046,230.73
66,134.644273,-25.807877,235.0
67,134.619774,-25.828717,235.61
68,134.606944,-25.860877,233.17
69,134.597445,-25.891377,248.11
70,134.585275,-25.926218,257.25
71,134.578606,-25.962218,241.1
72,134.662775,-25.949547,225.86
73,134.677274,-25.905547,218.24
74,134.699273,-25.867216,213.97
75,134.692273,-25.843046,221.59
76,134.718943,-25.811046,227.38
77,134.732942,-25.780716,219.46
78,134.741942,-25.749046,222.5
79,134.753601,-25.708875,243.84
80,134.83327,-25.703715,218.85
81,134.819771,-25.727375,214.58
82,134.805771,-25.773875,206.35
83,134.812942,-25.821715,204.52
84,134.789772,-25.855216,201.78
85,134.778273,-25.891216,203.91
86,134.755603,-25.910716,207.57
87,134.738274,-25.935546,212.14
88,134.854603,-25.935375,197.21
89,134.874942,-25.898045,194.16
90,134.873102,-25.849715,196.6
91,134.872771,-25.807375,198.42
92,134.881271,-25.762714,202.39
93,134.9061,-25.729714,205.13
94,134.293605,-25.686379,346.56
95,134.261776,-25.70205,354.79
96,134.237946,-25.73372,346.56
97,134.216777,-25.75872,338.02
98,134.195447,-25.78505,345.64
99,134.183608,-25.830221,353.26
100,134.177108,-25.862881,352.65
101,134.172609,-25.900221,362.1
102,134.180779,-25.938881,355.4
103,134.08945,-25.929222,381.0
104,134.096609,-25.892722,373.38
105,134.092449,-25.864052,373.08
106,134.094948,-25.831552,393.19
107,134.105278,-25.802381,372.47
108,134.131947,-25.771051,376.12
109,134.154107,-25.734881,373.99
110,134.088607,-25.702221,384.05
111,134.077108,-25.741721,409.96
112,134.046608,-25.786722,390.14
113,134.042779,-25.827052,405.99
114,134.036109,-25.856552,392.28
115,134.04061,-25.883222,382.22
116,134.02161,-25.915882,390.45
117,134.93877,-25.789544,194.77
118,134.940941,-25.832044,190.8
119,134.927271,-25.868044,188.98
120,134.906602,-25.909875,185.93
121,134.918102,-25.941715,182.27
122,134.970442,-25.937714,178.92
123,135.000941,-25.901874,181.97
124,134.97344,-25.833374,189.89
125,134.98144,-25.782374,194.16
126,134.992439,-25.743873,194.46
127,134.994939,-25.700713,197.51
128,134.364944,-25.666219,319.13
129,134.228279,-25.970051,339.55
130,134.322278,-25.97755,306.32
131,134.406444,-25.654878,297.18
132,134.508943,-25.636047,268.22
133,134.403107,-25.987379,288.34
134,134.480947,-25.985049,273.71
135,134.598102,-25.627716,249.63
136,134.687441,-25.655216,233.17
137,134.570776,-25.994048,246.28
138,134.662775,-25.993877,234.39
139,134.766941,-25.662545,224.33
140,134.82894,-25.675545,221.59
141,134.762274,-25.972546,216.1
142,134.838443,-25.958875,202.69
143,134.8961,-25.689714,209.4
144,134.298605,-25.656879,350.22
145,134.148279,-25.970882,338.33
146,134.08745,-25.959882,363.63
147,134.181606,-25.70388,374.9
148,134.099107,-25.661551,377.34
149,134.007611,-25.955053,395.33
150,134.93894,-25.751874,224.64
151,134.907273,-25.972545,187.76
152,134.939272,-25.990545,189.28
153,134.994939,-25.671543,202.08
154,135.419587,-24.931868,183.73
155,133.782942,-24.993552,353.46
156,134.309598,-24.970217,361.41
157,133.692943,-24.948552,354.04
158,133.004609,-24.965228,490.71
159,132.662952,-24.963561,513.81
160,132.444613,-24.951893,560.42
161,132.392954,-24.991894,532.23
162,134.05295,-25.978552,394.86
163,133.937951,-25.981883,402.14
164,133.836282,-25.978554,450.11
165,133.734613,-25.983555,465.95
166,133.577955,-25.990227,438.59
167,133.592954,-25.898556,454.82
168,134.02961,-25.890222,382.12
169,134.907942,-25.915215,191.29
170,135.121269,-25.806872,182.34
171,134.086279,-25.901882,370.17
172,133.957949,-25.803553,426.7
173,133.84961,-25.810224,425.33
174,133.731282,-25.818555,452.53
175,133.509613,-25.735226,501.75
176,133.611282,-25.726885,474.52
177,133.736281,-25.730224,429.1
178,133.83628,-25.721883,400.54
179,133.949609,-25.720222,374.87
180,134.037948,-25.713552,404.5
181,135.106268,-25.688542,192.85
182,135.167937,-25.681872,183.37
183,135.077937,-25.601872,213.28
184,134.974598,-25.625213,215.75
185,134.879599,-25.621874,219.23
186,134.78794,-25.628545,227.38
187,134.676271,-25.626876,240.32
188,134.574601,-25.583547,267.4
189,134.402944,-25.661878,294.68
190,134.362944,-25.673549,317.1
191,134.216275,-25.63355,333.62
192,134.106276,-25.621881,351.62
193,133.996277,-25.635222,351.03
194,133.889608,-25.648553,379.59
195,133.781279,-25.648554,404.68
196,133.66461,-25.630225,440.3
197,133.549611,-25.643556,463.87
198,133.52128,-25.526886,447.33
199,133.63795,-25.551885,428.42
200,133.731279,-25.533554,405.9
201,133.839607,-25.518553,387.79
202,133.941277,-25.541882,386.37
203,134.067945,-25.530221,338.25
204,134.176274,-25.51022,317.82
205,134.289604,-25.563549,316.0
206,134.391272,-25.508548,264.42
207,134.464602,-25.565217,254.67
208,134.541271,-25.465216,275.13
209,134.64127,-25.503546,259.46
210,134.72794,-25.566875,236.31
211,134.822939,-25.530214,227.66
212,135.072936,-25.531872,204.57
213,135.176265,-25.526871,195.53
214,135.196264,-25.416871,172.5
215,135.106265,-25.431872,185.64
216,135.004596,-25.443542,210.64
217,134.896267,-25.441873,226.27
218,134.757938,-25.425214,259.44
219,134.646269,-25.416875,288.83
220,134.5296,-25.395216,291.21
221,134.446271,-25.430217,319.47
222,134.356272,-25.428548,283.1
223,134.214603,-25.430219,281.79
224,134.101274,-25.43355,298.7
225,133.994605,-25.441881,332.91
226,133.867946,-25.428552,365.1
227,133.739607,-25.428553,393.05
228,133.611278,-25.423554,420.71
229,133.512949,-25.426885,412.51
230,133.509608,-25.298555,377.34
231,133.622947,-25.320224,390.56
232,133.724606,-25.326883,421.36
233,133.822945,-25.323552,397.68
234,133.947944,-25.331881,374.21
235,134.072943,-25.31855,326.75
236,134.177942,-25.316879,325.31
237,134.264602,-25.321878,310.71
238,134.39794,-25.318547,334.32
239,134.4846,-25.335217,318.81
240,134.622938,-25.328545,324.03
241,134.722938,-25.333545,275.84
242,134.806267,-25.346874,268.2
243,134.934596,-25.336873,229.53
244,135.042934,-25.320212,215.16
245,135.181263,-25.341871,192.83
246,135.299592,-25.33521,169.43
247,135.254592,-25.26021,181.91
248,135.187932,-25.24354,192.68
249,135.072933,-25.251871,211.99
250,134.954594,-25.236872,234.6
251,134.839595,-25.221873,261.6
252,134.727936,-25.233544,287.03
253,134.604598,-25.230215,339.42
254,134.506269,-25.243546,352.54
255,134.427939,-25.190217,320.09
256,134.27794,-25.228548,306.01
257,134.177941,-25.223549,286.42
258,134.062942,-25.21022,335.94
259,133.957943,-25.205221,371.08
260,133.822944,-25.223552,353.85
261,133.729605,-25.213553,345.44
262,133.612946,-25.230224,368.72
263,133.526277,-25.211884,376.65
264,133.489607,-25.155225,395.89
265,133.624605,-25.140223,364.24
266,133.719605,-25.148553,355.63
267,133.829604,-25.138552,367.72
268,133.949602,-25.128551,395.41
269,134.062941,-25.14188,317.39
270,134.17794,-25.133549,320.48
271,134.284599,-25.126878,331.58
272,134.392938,-25.116877,300.25
273,134.507937,-25.125216,321.58
274,134.619596,-25.136875,331.64
275,134.744595,-25.125214,344.74
276,134.831264,-25.115213,292.68
277,134.939593,-25.118542,260.62
278,135.057932,-25.136871,227.31
279,135.206261,-25.12354,200.08
280,135.33626,-25.108539,180.46
281,135.297929,-24.990209,197.42
282,134.949592,-25.016872,281.23
283,134.827933,-25.023543,339.46
284,134.727934,-25.025214,313.81
285,134.617935,-25.008545,310.07
286,134.494596,-25.020216,293.58
287,134.362938,-25.070217,340.66
288,134.172939,-25.020218,326.84
289,134.0596,-25.028549,361.62
290,133.959601,-25.01855,337.72
291,133.827942,-25.031881,349.66
292,133.734603,-25.003552,353.93
293,133.616274,-25.020223,366.91
294,133.524605,-25.016884,399.86
295,134.82627,-25.678545,222.13
296,134.211271,-25.198549,291.16
297,133.462956,-25.997728,451.8
298,132.646293,-26.028565,572.54
299,133.431285,-25.888558,485.83
300,133.379615,-25.863558,511.85
301,133.329616,-25.935229,480.7
302,133.116288,-25.88856,568.08
303,132.976289,-25.891892,542.52
304,132.83129,-25.881893,539.8
305,132.441293,-25.871896,551.01
306,132.352965,-25.958567,591.2
307,132.157966,-25.896899,573.35
308,132.166295,-25.820239,552.47
309,132.257964,-25.833568,575.76
310,132.391293,-25.835237,555.36
311,132.519622,-25.850236,549.46
312,132.604621,-25.818565,540.57
313,132.71962,-25.818564,550.19
314,132.847959,-25.828563,521.73
315,132.907959,-25.810232,514.24
